Sl.No,Pile_id,STACKING DATE,RAKE NO,SPUR,SUB PILE,TOP/BOTTOM,ST QNTY,GCV,RECLIAM DATE,RC-QNTY,AVAILABLE QUANTITY,AGING,TOP GCV,TOP QNTY,BTM GCV,BTM QNTY,coal above 3500,3100-3500,<3100
1,1A,14-10-2024,27,2,1,B,3385,3304,,,3385,84,0,0,3304,3385,0,3385,0
2,1A,15-10-2024,29,2,1,B,3092,3244,,,3092,83,0,0,3244,3092,0,3092,0
3,1A,25-10-2024,58,SILO,2,B,4668,2971,,,4668,73,0,0,2971,4668,0,0,4668
4,1A,26-10-2024,65,SILO,2,T,3555,3585,,,3555,72,3585,3555,0,0,3555,0,0
5,1A,26-10-2024,68,SILO,2,T,3246,3753,,,3246,72,3753,3246,0,0,3246,0,0
6,1A,12-11-2024,19,2,1,T,3339,2890,,,3339,55,2890,3339,0,0,0,0,3339
7,1B,12-09-2024,29,10,1,B,3910,2357,,,3910,116,0,0,2357,3910,0,0,3910
8,1B,02-10-2024,2,1,2,B,3750,3206,,,3750,96,0,0,3206,3750,0,3750,0
9,1B,10-10-2024,21,1,2,T,3264,3034,,,3264,88,3034,3264,0,0,0,0,3264
10,1B,15-10-2024,31,1,2,T,3568,3034,,,3568,83,3034,3568,0,0,0,0,3568
11,1B,02-11-2024,85,5,2,T,2595,2960,,,2595,65,2960,2595,0,0,0,0,2595
12,1B,03-11-2024,88,5,2,T,3143,3396,,,3143,64,3396,3143,0,0,0,3143,0
13,1C,18-10-2024,35,SILO,1,B,2800,3523,,,2800,80,0,0,3523,2800,2800,0,0
14,1C,23-10-2024,52,SILO,1,B,3716,3574.033626,,,3716,75,0,0,3574.033626,3716,3716,0,0
15,1C,24-10-2024,57,SILO,1,T,4308,3653,,,4308,74,3653,4308,0,0,4308,0,0
16,1C,25-10-2024,62,SILO,1,T,2500,3274.997947,,,2500,73,3274.997947,2500,0,0,0,2500,0
17,1C,25-10-2024,63,SILO,1,T,2700,3585.334803,,,2700,73,3585.334803,2700,0,0,2700,0,0
18,1C,02-11-2024,86,SILO,1,T,1172,3237,,,1172,65,3237,1172,0,0,0,1172,0
19,1D,21-10-2024,45,5,1,B,3970,3355.556506,,,3970,77,0,0,3355.556506,3970,0,3970,0
20,1D,22-10-2024,46,5,1,B,2930,3618.133722,,,2930,76,0,0,3618.133722,2930,2930,0,0
21,1D,22-10-2024,48,5,1,T,3475,3597,,,3475,76,3597,3475,0,0,3475,0,0
22,1D,23-10-2024,51,5,1,T,3580,3129.645473,,,3580,75,3129.645473,3580,0,0,0,3580,0
23,1D,24-10-2024,55,5,1,T,3700,3527.867287,,,3700,74,3527.867287,3700,0,0,3700,0,0
